Episode Num,Action,Timestep,SoC,Is Charging,Episode Reward,Latitude,Longitude
Baseline, ,0,50.0,False,0,42.98904084,-81.22821493
Baseline,1144,1,46.1,False,-120.0,42.988944479063846,-81.23127751480337
Baseline,1144,2,42.2,False,-236.69,42.98884810910168,-81.23434009429565
Baseline,1144,3,38.3,False,-350.48,42.98875174953365,-81.2374026696107
Baseline,1144,4,34.4,False,-461.86,42.988655433844286,-81.24046524270413
Baseline,1144,5,30.5,False,-571.51,42.98855923357365,-81.24352781774992
Baseline,1144,6,26.6,True,-680.31,42.988487,-81.245845
Baseline,1144,7,29.73,True,-790.59,42.988487,-81.245845
Baseline,1144,8,32.85,True,-896.91,42.988487,-81.245845
Baseline,1144,9,35.98,True,-1000.03,42.988487,-81.245845
Baseline,1144,10,39.1,True,-1100.51,42.988487,-81.245845
Baseline,1144,11,42.23,True,-1198.77,42.988487,-81.245845
Baseline,1144,12,45.35,True,-1295.13,42.988487,-81.245845
Baseline,1144,13,48.48,True,-1389.86,42.988487,-81.245845
Baseline,1144,14,51.6,True,-1483.17,42.988487,-81.245845
Baseline,0,15,54.73,False,-1575.23,42.989878773275336,-81.24825383993354
Baseline,0,16,50.83,False,-1660.47,42.99127023126963,-81.25066307179806
Baseline,0,17,46.92,False,-1741.39,42.9926613492972,-81.25307272192285
Baseline,0,18,43.02,False,-1818.24,42.99405209759019,-81.25548282204902
Baseline,0,19,39.12,False,-1891.29,42.99544243954849,-81.25789341119074
Baseline,0,20,35.23,False,-1960.95,42.996832329081975,-81.26030453846084
Baseline,0,21,31.32,False,-2027.72,42.99822170636889,-81.26271626757836
Baseline,0,22,27.43,False,-2092.3,42.99961049064396,-81.26512868452883
Baseline,0,23,23.52,False,-2155.71,43.00099856686478,-81.26754191171929
Baseline,0,24,19.62,False,-2219.45,43.00238575801138,-81.2699561373644
Baseline,0,25,15.72,False,-2285.92,43.00377175653604,-81.27237168814227
Baseline,0,26,11.82,False,-359.3,43.006137960450104,-81.27651959525788
0, ,0,50.0,False,0,42.98904084,-81.22821493
0,251,1,46.1,False,-120.0,42.9905559818917,-81.2304814650159
0,251,2,42.2,False,-236.23,42.992070948007225,-81.23274827321951
0,251,3,38.3,False,-349.02,42.99358573236088,-81.23501536199528
0,251,4,34.4,False,-458.84,42.9951003283933,-81.23728273943432
0,251,5,30.5,False,-566.26,42.99661472888476,-81.23955041444107
0,251,6,26.6,False,-672.1,42.99812892585001,-81.24181839686261
0,251,7,22.7,False,-777.52,42.99964291040969,-81.2440866976469
0,251,8,18.8,False,-884.26,43.001156672631026,-81.24635532903862
0,251,9,14.9,False,-995.1,43.00267020132856,-81.24862430482432
0,251,10,11.0,False,-1114.96,43.00418348381098,-81.25089364064354
0,251,11,7.1,False,-1253.91,43.005696505554965,-81.25316335438976
0,251,12,3.2,False,-1438.32,43.007209249777496,-81.25543346673598
0,251,13,-0.7,False,-3790.22,43.00872169686375,-81.25770400183757
500, ,0,50.0,False,0,42.98904084,-81.22821493
500,0,1,46.1,False,-120.0,42.990021674378504,-81.23097386484739
500,0,2,42.2,False,-235.98,42.9910022684738,-81.23373300193276
500,0,3,38.3,False,-348.24,42.99198261109916,-81.23649234857984
500,0,4,34.4,False,-457.2,42.99296268952616,-81.23925191312127
500,0,5,30.5,False,-563.4,42.993942489142086,-81.24201170512252
500,0,6,26.6,False,-667.6,42.99492199299772,-81.24477173567762
500,0,7,22.7,False,-770.89,42.99590118119768,-81.24753201780749
500,383,8,18.8,False,-874.93,42.993672930629025,-81.2471031994721
500,1143,9,14.9,False,-991.46,42.99145403415943,-81.24659224397732
500,383,10,11.0,False,-1125.69,42.989220387989704,-81.24621914828296
500,383,11,7.1,True,-1287.59,42.988279,-81.24606
500,383,12,10.22,True,-1501.13,42.988279,-81.24606
500,383,13,13.35,True,-1671.63,42.988279,-81.24606
500,383,14,16.48,True,-1819.23,42.988279,-81.24606
500,681,15,19.6,False,-1952.62,42.98968685825352,-81.24845142535185
500,681,16,15.7,False,-2070.62,42.991666542260674,-81.24990907873696
500,681,17,11.8,True,-2196.07,42.9926056,-81.2506083
500,681,18,14.93,True,-2340.11,42.9926056,-81.2506083
500,681,19,18.05,True,-2466.41,42.9926056,-81.2506083
500,1392,20,21.18,False,-2581.11,42.99391362080643,-81.25310287162688
500,681,21,17.27,True,-2681.92,42.9926056,-81.2506083
500,681,22,20.4,True,-2799.11,42.9926056,-81.2506083
500,681,23,23.52,True,-2907.42,42.9926056,-81.2506083
500,681,24,26.65,True,-3009.23,42.9926056,-81.2506083
500,681,25,29.77,True,-3106.05,42.9926056,-81.2506083
500,681,26,32.9,True,-3198.94,42.9926056,-81.2506083
500,681,27,36.02,True,-3288.63,42.9926056,-81.2506083
500,681,28,39.15,True,-3375.69,42.9926056,-81.2506083
500,681,29,42.27,True,-3460.53,42.9926056,-81.2506083
500,681,30,45.4,True,-3543.48,42.9926056,-81.2506083
500,681,31,48.52,True,-3624.8,42.9926056,-81.2506083
500,681,32,51.65,True,-3704.71,42.9926056,-81.2506083
500,681,33,54.77,True,-3783.37,42.9926056,-81.2506083
500,681,34,57.9,True,-3860.92,42.9926056,-81.2506083
500,681,35,61.02,True,-3937.49,42.9926056,-81.2506083
500,383,36,64.15,False,-4013.18,42.99391362080643,-81.25310287162688
500,0,37,60.25,False,-4082.35,42.995221254119386,-81.25559787283916
500,0,38,56.35,False,-4146.81,42.99652846017843,-81.2580933421275
500,681,39,52.45,False,-4206.7,42.99521777772059,-81.25560125943312
500,1384,40,48.55,False,-4273.64,42.99356284740419,-81.2576786483555
500,1384,41,44.65,False,-4341.72,42.99190865440521,-81.25975707177619
500,1384,42,40.75,False,-4411.9,42.99025550640344,-81.26183698249888
500,1143,43,36.85,False,-4485.2,42.9898752999896,-81.2588156010759
500,1143,44,32.95,False,-4565.22,42.98949532416437,-81.25579418443799
500,1143,45,29.05,False,-4652.85,42.98911567301274,-81.25277271066689
500,1143,46,25.15,False,-4749.17,42.9887365226251,-81.24975113880053
500,1143,47,21.25,False,-4855.61,42.98835832147707,-81.2467293647502
500,1143,48,17.35,True,-4974.26,42.98825,-81.24585
500,1143,49,20.48,True,-5104.95,42.98825,-81.24585
500,1384,50,23.6,False,-5226.84,42.9896533616503,-81.24824632318327
1000, ,0,50.0,False,0,42.98904084,-81.22821493
1000,0,1,46.1,False,-120.0,42.990021674378504,-81.23097386484739
1000,0,2,42.2,False,-235.98,42.9910022684738,-81.23373300193276
1000,0,3,38.3,False,-348.24,42.99198261109916,-81.23649234857984
1000,0,4,34.4,False,-457.2,42.99296268952616,-81.23925191312127
1000,681,5,30.5,False,-563.4,42.9928661481359,-81.24231468209719
1000,0,6,26.6,False,-668.33,42.99392118091723,-81.24502251193177
1000,0,7,22.7,False,-772.35,42.994975894200685,-81.24773061891135
1000,0,8,18.8,False,-877.11,42.996030263983386,-81.25043902028463
1000,0,9,14.9,False,-985.3,42.99708426127677,-81.2531477368789
1000,0,10,11.0,False,-1101.69,42.99813785037207,-81.25585679434366
1000,0,11,7.1,False,-1236.16,42.99919098619547,-81.25856622504607
1000,0,12,3.2,False,-1414.85,43.00024361006556,-81.26127607111042
1000,0,13,-0.7,False,-3759.47,43.001295642431494,-81.26398638961797
1500, ,0,50.0,False,0,42.98904084,-81.22821493
1500,0,1,46.1,False,-120.0,42.990021674378504,-81.23097386484739
1500,0,2,42.2,False,-235.98,42.9910022684738,-81.23373300193276
1500,0,3,38.3,False,-348.24,42.99198261109916,-81.23649234857984
1500,0,4,34.4,False,-457.2,42.99296268952616,-81.23925191312127
1500,0,5,30.5,False,-563.4,42.993942489142086,-81.24201170512252
1500,0,6,26.6,False,-667.6,42.99492199299772,-81.24477173567762
1500,0,7,22.7,False,-770.89,42.99590118119768,-81.24753201780749
1500,0,8,18.8,False,-874.93,42.996880030058556,-81.25029256700999
1500,0,9,14.9,False,-982.38,42.99785851091225,-81.25305340204152
1500,0,10,11.0,False,-1098.05,42.998836588346045,-81.25581454606619
1500,0,11,7.1,False,-1231.79,42.9998142175033,-81.25857602841776
1500,0,12,3.2,False,-1409.75,43.00079133972159,-81.2613378874456
1500,0,13,-0.7,False,-3753.64,43.00176787499507,-81.26410017543039
2000, ,0,50.0,False,0,42.98904084,-81.22821493
2000,0,1,46.1,False,-120.0,42.990021674378504,-81.23097386484739
2000,0,2,42.2,False,-235.98,42.9910022684738,-81.23373300193276
2000,0,3,38.3,False,-348.24,42.99198261109916,-81.23649234857984
2000,0,4,34.4,False,-457.2,42.99296268952616,-81.23925191312127
2000,0,5,30.5,False,-563.4,42.993942489142086,-81.24201170512252
2000,0,6,26.6,False,-667.6,42.99492199299772,-81.24477173567762
2000,0,7,22.7,False,-770.89,42.99590118119768,-81.24753201780749
2000,0,8,18.8,False,-874.93,42.996880030058556,-81.25029256700999
2000,0,9,14.9,False,-982.38,42.99785851091225,-81.25305340204152
2000,0,10,11.0,False,-1098.05,42.998836588346045,-81.25581454606619
2000,0,11,7.1,False,-1231.79,42.9998142175033,-81.25857602841776
2000,0,12,3.2,False,-1409.75,43.00079133972159,-81.2613378874456
2000,2388,13,-0.7,False,-3753.64,42.99895902842313,-81.25955796307997
2500, ,0,50.0,False,0,42.98904084,-81.22821493
2500,0,1,46.1,False,-120.0,42.990021674378504,-81.23097386484739
2500,0,2,42.2,False,-235.98,42.9910022684738,-81.23373300193276
2500,0,3,38.3,False,-348.24,42.99198261109916,-81.23649234857984
2500,0,4,34.4,False,-457.2,42.99296268952616,-81.23925191312127
2500,0,5,30.5,False,-563.4,42.993942489142086,-81.24201170512252
2500,0,6,26.6,False,-667.6,42.99492199299772,-81.24477173567762
2500,0,7,22.7,False,-770.89,42.99590118119768,-81.24753201780749
2500,0,8,18.8,False,-874.93,42.996880030058556,-81.25029256700999
2500,0,9,14.9,False,-982.38,42.99785851091225,-81.25305340204152
2500,0,10,11.0,False,-1098.05,42.998836588346045,-81.25581454606619
2500,0,11,7.1,False,-1231.79,42.9998142175033,-81.25857602841776
2500,0,12,3.2,False,-1409.75,43.00079133972159,-81.2613378874456
2500,681,13,-0.7,False,-3753.64,42.99916696267253,-81.25921602647651
3000, ,0,50.0,False,0,42.98904084,-81.22821493
3000,0,1,46.1,False,-120.0,42.990021674378504,-81.23097386484739
3000,0,2,42.2,False,-235.98,42.9910022684738,-81.23373300193276
3000,0,3,38.3,False,-348.24,42.99198261109916,-81.23649234857984
3000,0,4,34.4,False,-457.2,42.99296268952616,-81.23925191312127
3000,0,5,30.5,False,-563.4,42.993942489142086,-81.24201170512252
3000,0,6,26.6,False,-667.6,42.99492199299772,-81.24477173567762
3000,0,7,22.7,False,-770.89,42.99590118119768,-81.24753201780749
3000,0,8,18.8,False,-874.93,42.996880030058556,-81.25029256700999
3000,0,9,14.9,False,-982.38,42.99785851091225,-81.25305340204152
3000,0,10,11.0,False,-1098.05,42.998836588346045,-81.25581454606619
3000,0,11,7.1,False,-1231.79,42.9998142175033,-81.25857602841776
3000,0,12,3.2,False,-1409.75,43.00079133972159,-81.2613378874456
3000,1144,13,-0.7,False,-3753.64,42.99913613241609,-81.25926072278469
3500, ,0,50.0,False,0,42.98904084,-81.22821493
3500,0,1,46.1,False,-120.0,42.990021674378504,-81.23097386484739
3500,0,2,42.2,False,-235.98,42.9910022684738,-81.23373300193276
3500,0,3,38.3,False,-348.24,42.99198261109916,-81.23649234857984
3500,0,4,34.4,False,-457.2,42.99296268952616,-81.23925191312127
3500,0,5,30.5,False,-563.4,42.993942489142086,-81.24201170512252
3500,0,6,26.6,False,-667.6,42.99492199299772,-81.24477173567762
3500,0,7,22.7,False,-770.89,42.99590118119768,-81.24753201780749
3500,0,8,18.8,False,-874.93,42.996880030058556,-81.25029256700999
3500,0,9,14.9,False,-982.38,42.99785851091225,-81.25305340204152
3500,0,10,11.0,False,-1098.05,42.998836588346045,-81.25581454606619
3500,0,11,7.1,False,-1231.79,42.9998142175033,-81.25857602841776
3500,0,12,3.2,False,-1409.75,43.00079133972159,-81.2613378874456
3500,0,13,-0.7,False,-3753.64,43.00176787499507,-81.26410017543039
4000, ,0,50.0,False,0,42.98904084,-81.22821493
4000,0,1,46.1,False,-120.0,42.990021674378504,-81.23097386484739
4000,0,2,42.2,False,-235.98,42.9910022684738,-81.23373300193276
4000,0,3,38.3,False,-348.24,42.99198261109916,-81.23649234857984
4000,0,4,34.4,False,-457.2,42.99296268952616,-81.23925191312127
4000,0,5,30.5,False,-563.4,42.993942489142086,-81.24201170512252
4000,0,6,26.6,False,-667.6,42.99492199299772,-81.24477173567762
4000,0,7,22.7,False,-770.89,42.99590118119768,-81.24753201780749
